Date,MonthlyTarget
1/1/2022,382422.15
2/1/2022,210170.279
3/1/2022,223216.752
4/1/2022,360285.167
5/1/2022,274258.325
6/1/2022,228600.009
7/1/2022,298342.066
8/1/2022,300658.688
9/1/2022,414372.002
10/1/2022,277804.252
11/1/2022,172431.303
12/1/2022,150073.924
1/1/2023,6004385.035
2/1/2023,4657834.72
3/1/2023,5662180.37
4/1/2023,5050198.956
5/1/2023,5828080.852
6/1/2023,5519735.419
7/1/2023,6384452.118
8/1/2023,5111282.935
9/1/2023,6199206.53
10/1/2023,5506045.435
11/1/2023,6220981.613
12/1/2023,5704567.308
1/1/2024,541668.963
2/1/2024,261310.489
3/1/2024,341925.21
4/1/2024,215760.578
5/1/2024,300994.43
6/1/2024,222892.131
7/1/2024,345744.872
8/1/2024,336838.986
9/1/2024,201433.595
10/1/2024,268758.38
11/1/2024,205062.836
12/1/2024,410102.308
1/1/2025,283432.776
2/1/2025,187113.157
3/1/2025,274943.416
4/1/2025,307968.144
5/1/2025,270406.752
6/1/2025,279588.859
7/1/2025,256638.008
8/1/2025,230493.67
9/1/2025,343336.587
10/1/2025,228737.388
11/1/2025,182573.248
12/1/2025,317773.698
1/1/2026,307587.401
2/1/2026,173158.018
